"year","week","zone","spp","abund"
2020,24,"LC","Pipiens",0.3
2020,24,"LC","Tarsalis",0.7
2020,24,"LV","Tarsalis",3.2
2020,24,"NE","Pipiens",2
2020,24,"NE","Tarsalis",0.9
2020,24,"NW","Pipiens",2
2020,24,"NW","Tarsalis",2.6
2020,24,"SE","Pipiens",11.7
2020,24,"SE","Tarsalis",0.7
2020,24,"SW","Pipiens",1
2020,24,"SW","Tarsalis",2
2020,25,"LC","Tarsalis",2.8
2020,25,"LV","Pipiens",3
2020,25,"LV","Tarsalis",10.4
2020,25,"NE","Pipiens",2.8
2020,25,"NE","Tarsalis",2.5
2020,25,"NW","Pipiens",4.8
2020,25,"NW","Tarsalis",7.9
2020,25,"SE","Pipiens",7.6
2020,25,"SE","Tarsalis",4
2020,25,"SW","Pipiens",2.2
2020,25,"SW","Tarsalis",5.2
2020,26,"LC","Pipiens",1.5
2020,26,"LC","Tarsalis",3.5
2020,26,"LV","Pipiens",0.6
2020,26,"LV","Tarsalis",16.2
2020,26,"NE","Pipiens",2.1
2020,26,"NE","Tarsalis",2.7
2020,26,"NW","Pipiens",2.3
2020,26,"NW","Tarsalis",1.1
2020,26,"SE","Pipiens",16.6
2020,26,"SE","Tarsalis",8.1
2020,26,"SW","Pipiens",3.1
2020,26,"SW","Tarsalis",6.4
2020,27,"LC","Pipiens",1.5
2020,27,"LC","Tarsalis",10.8
2020,27,"LV","Pipiens",1.9
2020,27,"LV","Tarsalis",26.7
2020,27,"NE","Pipiens",4.2
2020,27,"NE","Tarsalis",6.4
2020,27,"NW","Pipiens",4.4
2020,27,"NW","Tarsalis",5.2
2020,27,"SE","Pipiens",4.9
2020,27,"SE","Tarsalis",18.6
2020,27,"SW","Pipiens",3
2020,27,"SW","Tarsalis",6.4
2020,28,"FC","Pipiens",9
2020,28,"LC","Pipiens",0.2
2020,28,"LC","Tarsalis",6.5
2020,28,"LV","Pipiens",1.7
2020,28,"LV","Tarsalis",80.2
2020,28,"NE","Pipiens",6.2
2020,28,"NE","Tarsalis",16.8
2020,28,"NW","Pipiens",13.6
2020,28,"NW","Tarsalis",10.7
2020,28,"SE","Pipiens",72.8
2020,28,"SE","Tarsalis",11.4
2020,28,"SW","Pipiens",3.9
2020,28,"SW","Tarsalis",10.6
2020,29,"LC","Pipiens",2
2020,29,"LC","Tarsalis",5.7
2020,29,"LV","Pipiens",2.1
2020,29,"LV","Tarsalis",34.1
2020,29,"NE","Pipiens",15.8
2020,29,"NE","Tarsalis",23.6
2020,29,"NW","Pipiens",15.7
2020,29,"NW","Tarsalis",11.9
2020,29,"SE","Pipiens",3.2
2020,29,"SE","Tarsalis",15.7
2020,29,"SW","Pipiens",11.3
2020,29,"SW","Tarsalis",5.4
2020,30,"LC","Pipiens",1.4
2020,30,"LC","Tarsalis",5
2020,30,"LV","Pipiens",1.9
2020,30,"LV","Tarsalis",39.1
2020,30,"NE","Pipiens",18.4
2020,30,"NE","Tarsalis",22.6
2020,30,"NW","Pipiens",7.7
2020,30,"NW","Tarsalis",60.6
2020,30,"SE","Pipiens",13.8
2020,30,"SE","Tarsalis",29.8
2020,30,"SW","Pipiens",14.4
2020,30,"SW","Tarsalis",17.9
2020,31,"LC","Pipiens",0.2
2020,31,"LC","Tarsalis",8.4
2020,31,"LV","Pipiens",1.7
2020,31,"LV","Tarsalis",92.6
2020,31,"NE","Pipiens",23.5
2020,31,"NE","Tarsalis",16.8
2020,31,"NW","Pipiens",23.1
2020,31,"NW","Tarsalis",21.8
2020,31,"SE","Pipiens",44.8
2020,31,"SE","Tarsalis",48
2020,31,"SW","Pipiens",13.3
2020,31,"SW","Tarsalis",10.2
2020,32,"LC","Pipiens",5
2020,32,"LC","Tarsalis",13.3
2020,32,"LV","Pipiens",2.7
2020,32,"LV","Tarsalis",20.6
2020,32,"NE","Pipiens",23.3
2020,32,"NE","Tarsalis",27.1
2020,32,"NW","Pipiens",11.1
2020,32,"NW","Tarsalis",22.2
2020,32,"SE","Pipiens",28.3
2020,32,"SE","Tarsalis",22.2
2020,32,"SW","Pipiens",13.8
2020,32,"SW","Tarsalis",11.7
2020,32,"WC","Tarsalis",2
2020,33,"FC","Pipiens",2
2020,33,"LC","Pipiens",0.2
2020,33,"LC","Tarsalis",11.2
2020,33,"LV","Pipiens",2.6
2020,33,"LV","Tarsalis",47.1
2020,33,"NE","Pipiens",19.8
2020,33,"NE","Tarsalis",38
2020,33,"NW","Pipiens",9.6
2020,33,"NW","Tarsalis",29.2
2020,33,"SE","Pipiens",53.5
2020,33,"SE","Tarsalis",13.2
2020,33,"SW","Pipiens",6.4
2020,33,"SW","Tarsalis",8.1
2020,33,"WC","Pipiens",1
2020,33,"WC","Tarsalis",6
2020,34,"LC","Pipiens",1.5
2020,34,"LC","Tarsalis",11.2
2020,34,"LV","Pipiens",1
2020,34,"LV","Tarsalis",28.8
2020,34,"NE","Pipiens",17.1
2020,34,"NE","Tarsalis",23.9
2020,34,"NW","Pipiens",23.5
2020,34,"NW","Tarsalis",21.9
2020,34,"SE","Pipiens",40.5
2020,34,"SE","Tarsalis",15.5
2020,34,"SW","Pipiens",15.3
2020,34,"SW","Tarsalis",3.9
2020,34,"WC","Tarsalis",7
2020,35,"FC","Pipiens",47
2020,35,"LC","Pipiens",1.2
2020,35,"LC","Tarsalis",8
2020,35,"LV","Pipiens",2.3
2020,35,"LV","Tarsalis",15.3
2020,35,"NE","Pipiens",33.9
2020,35,"NE","Tarsalis",12.6
2020,35,"NW","Pipiens",27.1
2020,35,"NW","Tarsalis",7.7
2020,35,"SE","Pipiens",25
2020,35,"SE","Tarsalis",8.3
2020,35,"SW","Pipiens",6.9
2020,35,"SW","Tarsalis",1.4
2020,36,"LV","Pipiens",6.6
2020,36,"LV","Tarsalis",4.2
2020,36,"NE","Pipiens",7.1
2020,36,"NE","Tarsalis",1
2020,36,"NW","Pipiens",10.6
2020,36,"NW","Tarsalis",4.2
2020,36,"SE","Pipiens",9.4
2020,36,"SE","Tarsalis",2.4
2020,36,"SW","Pipiens",6.3
2020,36,"SW","Tarsalis",1.1
2021,23,"LC","Pipiens",0.3
2021,23,"LC","Tarsalis",25.3
2021,23,"LV","Pipiens",0.5
2021,23,"LV","Tarsalis",28.5
2021,24,"BC","Tarsalis",20.2
2021,24,"LC","Pipiens",0.2
2021,24,"LC","Tarsalis",55.8
2021,24,"LV","Tarsalis",52.9
2021,25,"BC","Tarsalis",14.5
2021,25,"LC","Pipiens",0.8
2021,25,"LC","Tarsalis",38
2021,25,"LV","Pipiens",4
2021,25,"LV","Tarsalis",83.8
2021,25,"NE","Pipiens",3.3
2021,25,"NE","Tarsalis",9.5
2021,25,"NW","Pipiens",5.3
2021,25,"NW","Tarsalis",12.1
2021,25,"SE","Pipiens",6.6
2021,25,"SE","Tarsalis",31
2021,25,"SW","Pipiens",6.2
2021,25,"SW","Tarsalis",6.1
2021,25,"WC","Tarsalis",36
2021,26,"BC","Tarsalis",5.2
2021,26,"LC","Pipiens",3.7
2021,26,"LC","Tarsalis",52
2021,26,"LV","Pipiens",8.4
2021,26,"LV","Tarsalis",207.5
2021,26,"NE","Pipiens",5.4
2021,26,"NE","Tarsalis",32.2
2021,26,"NW","Pipiens",17.8
2021,26,"NW","Tarsalis",39.1
2021,26,"SE","Pipiens",11.6
2021,26,"SE","Tarsalis",22.1
2021,26,"SW","Pipiens",3.2
2021,26,"SW","Tarsalis",9.1
2021,26,"WC","Pipiens",1
2021,26,"WC","Tarsalis",26
2021,27,"BC","Tarsalis",31
2021,27,"LC","Pipiens",10
2021,27,"LC","Tarsalis",101.5
2021,27,"LV","Pipiens",5.1
2021,27,"LV","Tarsalis",466.9
2021,27,"NE","Pipiens",10.6
2021,27,"NE","Tarsalis",73.3
2021,27,"NW","Pipiens",37.1
2021,27,"NW","Tarsalis",172.8
2021,27,"SE","Pipiens",14.2
2021,27,"SE","Tarsalis",31.8
2021,27,"SW","Pipiens",4.1
2021,27,"SW","Tarsalis",20.2
2021,27,"WC","Pipiens",6
2021,27,"WC","Tarsalis",212
2021,28,"BC","Tarsalis",25.4
2021,28,"LC","Pipiens",26.6
2021,28,"LC","Tarsalis",111
2021,28,"LV","Pipiens",9.4
2021,28,"LV","Tarsalis",519.1
2021,28,"NE","Pipiens",32.1
2021,28,"NE","Tarsalis",196.9
2021,28,"NW","Pipiens",13.6
2021,28,"NW","Tarsalis",23.3
2021,28,"SE","Pipiens",18.1
2021,28,"SE","Tarsalis",95.6
2021,28,"SW","Pipiens",4.2
2021,28,"SW","Tarsalis",29
2021,28,"WC","Pipiens",1
2021,28,"WC","Tarsalis",84
2021,29,"BC","Tarsalis",35.2
2021,29,"LC","Pipiens",5.5
2021,29,"LC","Tarsalis",119.8
2021,29,"LV","Pipiens",9.5
2021,29,"LV","Tarsalis",171.6
2021,29,"NE","Pipiens",63.2
2021,29,"NE","Tarsalis",98.2
2021,29,"NW","Pipiens",10.2
2021,29,"NW","Tarsalis",174.2
2021,29,"SE","Pipiens",23
2021,29,"SE","Tarsalis",129.2
2021,29,"SW","Pipiens",22.7
2021,29,"SW","Tarsalis",14.4
2021,29,"WC","Tarsalis",13
2021,30,"BC","Tarsalis",50.8
2021,30,"LC","Pipiens",26.2
2021,30,"LC","Tarsalis",226
2021,30,"LV","Pipiens",5.4
2021,30,"LV","Tarsalis",129.7
2021,30,"NE","Pipiens",28.4
2021,30,"NE","Tarsalis",74.6
2021,30,"NW","Pipiens",22.6
2021,30,"NW","Tarsalis",80
2021,30,"SE","Pipiens",65.6
2021,30,"SE","Tarsalis",153.2
2021,30,"SW","Pipiens",12.8
2021,30,"SW","Tarsalis",43.6
2021,30,"WC","Pipiens",2
2021,30,"WC","Tarsalis",89
2021,31,"BC","Tarsalis",47.4
2021,31,"FC","Pipiens",4
2021,31,"FC","Tarsalis",7
2021,31,"LC","Pipiens",15
2021,31,"LC","Tarsalis",36.2
2021,31,"LV","Pipiens",11.9
2021,31,"LV","Tarsalis",85.5
2021,31,"NE","Pipiens",65.4
2021,31,"NE","Tarsalis",70.9
2021,31,"NW","Pipiens",8.4
2021,31,"NW","Tarsalis",14.9
2021,31,"SE","Pipiens",24.6
2021,31,"SE","Tarsalis",39.9
2021,31,"SW","Pipiens",37
2021,31,"SW","Tarsalis",12.2
2021,31,"WC","Tarsalis",15
2021,32,"BC","Tarsalis",26.4
2021,32,"LC","Pipiens",18.8
2021,32,"LC","Tarsalis",32.5
2021,32,"LV","Pipiens",10.1
2021,32,"LV","Tarsalis",87.7
2021,32,"NE","Pipiens",81.4
2021,32,"NE","Tarsalis",32.4
2021,32,"NW","Pipiens",22.9
2021,32,"NW","Tarsalis",18.2
2021,32,"SE","Pipiens",26.7
2021,32,"SE","Tarsalis",17.6
2021,32,"SW","Pipiens",24.2
2021,32,"SW","Tarsalis",8.8
2021,32,"WC","Pipiens",3
2021,32,"WC","Tarsalis",10
2021,33,"BC","Tarsalis",20.6
2021,33,"LC","Pipiens",7
2021,33,"LC","Tarsalis",28.5
2021,33,"LV","Pipiens",17.1
2021,33,"LV","Tarsalis",44.1
2021,33,"NE","Pipiens",16
2021,33,"NE","Tarsalis",13.2
2021,33,"NW","Pipiens",20.5
2021,33,"NW","Tarsalis",29
2021,33,"SE","Pipiens",63.2
2021,33,"SE","Tarsalis",7.9
2021,33,"SW","Pipiens",28.4
2021,33,"SW","Tarsalis",5
2021,33,"WC","Pipiens",1
2021,33,"WC","Tarsalis",18
2021,34,"BC","Tarsalis",14.6
2021,34,"LC","Pipiens",6.5
2021,34,"LC","Tarsalis",23.8
2021,34,"LV","Pipiens",10.2
2021,34,"LV","Tarsalis",24.4
2021,34,"NE","Pipiens",62.9
2021,34,"NE","Tarsalis",6.2
2021,34,"NW","Pipiens",16.3
2021,34,"NW","Tarsalis",3.6
2021,34,"SE","Pipiens",17.9
2021,34,"SE","Tarsalis",2.6
2021,34,"SW","Pipiens",4
2021,34,"SW","Tarsalis",2.2
2021,34,"WC","Pipiens",2
2021,34,"WC","Tarsalis",17
2021,35,"BC","Tarsalis",5.6
2021,35,"LC","Pipiens",7.8
2021,35,"LC","Tarsalis",9.8
2021,35,"LV","Pipiens",5.3
2021,35,"LV","Tarsalis",12.3
2021,35,"NE","Pipiens",33.3
2021,35,"NE","Tarsalis",2.5
2021,35,"NW","Pipiens",5.6
2021,35,"NW","Tarsalis",2.8
