"year","week","zone","spp","mosq","mosq_L","trap_L_func","abund"
2024,27,"NW","Pipiens",56,30,9,3.33
2024,27,"NW","Tarsalis",31,31,9,3.44
2024,27,"NE","Pipiens",227,36,10,3.6
2024,27,"NE","Tarsalis",168,167,10,16.7
2024,27,"SE","Pipiens",98,21,15,1.4
2024,27,"SE","Tarsalis",127,127,15,8.47
2024,27,"SW","Pipiens",15,8,9,0.89
2024,27,"SW","Tarsalis",10,10,9,1.11
2024,27,"FC","Pipiens",396,95,43,2.21
2024,27,"FC","Tarsalis",336,335,43,7.79
2024,27,"LV","Pipiens",7,7,6,1.17
2024,27,"LV","Tarsalis",183,183,6,30.5
2024,27,"BE","Pipiens",37,37,9,4.11
2024,27,"BE","Tarsalis",566,566,9,62.89
2024,27,"BC","Tarsalis",123,123,5,24.6
