"year","zone","week","n_trap","spp","mosq","abund"
2014,"FC",30,5,"Pipiens",278,55.6
2014,"FC",30,5,"Tarsalis",4,0.8
2014,"LV",30,10,"Pipiens",57,5.7
2014,"LV",30,10,"Tarsalis",1255,125.5
2014,"NE",30,10,"Pipiens",189,18.9
2014,"NE",30,10,"Tarsalis",2196,219.6
2014,"NW",30,9,"Pipiens",64,7.1
2014,"NW",30,9,"Tarsalis",824,91.6
2014,"SE",30,15,"Pipiens",287,19.1
2014,"SE",30,15,"Tarsalis",3077,205.1
2014,"SW",30,9,"Pipiens",24,2.7
2014,"SW",30,9,"Tarsalis",431,47.9
2015,"LV",24,6,"Tarsalis",68,11.3
2015,"LV",25,6,"Tarsalis",1482,247
2015,"LV",26,6,"Pipiens",14,2.3
2015,"LV",26,6,"Tarsalis",587,97.8
2015,"LV",27,6,"Pipiens",15,2.5
2015,"LV",27,6,"Tarsalis",1224,204
2015,"LV",28,6,"Pipiens",24,4
2015,"LV",28,6,"Tarsalis",1370,228.3
2015,"LV",29,6,"Pipiens",30,5
2015,"LV",29,6,"Tarsalis",1089,181.5
2015,"LV",30,6,"Pipiens",15,2.5
2015,"LV",30,6,"Tarsalis",1303,217.2
2015,"LV",31,6,"Pipiens",15,2.5
2015,"LV",31,6,"Tarsalis",499,83.2
2015,"LV",32,6,"Pipiens",22,3.7
2015,"LV",32,6,"Tarsalis",234,39
2015,"LV",33,6,"Pipiens",23,3.8
2015,"LV",33,6,"Tarsalis",76,12.7
2015,"LV",34,6,"Pipiens",37,6.2
2015,"LV",34,6,"Tarsalis",146,24.3
2015,"LV",35,6,"Pipiens",4,0.7
2015,"LV",35,6,"Tarsalis",118,19.7
2015,"NE",24,11,"Pipiens",26,2.4
2015,"NE",24,11,"Tarsalis",121,11
2015,"NE",25,14,"Pipiens",77,5.5
2015,"NE",25,14,"Tarsalis",578,41.3
2015,"NE",26,14,"Pipiens",128,9.1
2015,"NE",26,14,"Tarsalis",800,57.1
2015,"NE",27,14,"Pipiens",147,10.5
