"year","week","zone","spp","mosq","mosq_L","trap_L_func","abund"
2024,25,"NW","Pipiens",22,19,8,2.38
2024,25,"NW","Tarsalis",34,34,8,4.25
2024,25,"NE","Pipiens",37,14,9,1.56
2024,25,"NE","Tarsalis",120,120,9,13.33
2024,25,"SE","Pipiens",32,1,15,0.07
2024,25,"SE","Tarsalis",99,96,15,6.4
2024,25,"SW","Pipiens",7,4,9,0.44
2024,25,"SW","Tarsalis",11,11,9,1.22
2024,25,"FC","Pipiens",98,38,41,0.93
2024,25,"FC","Tarsalis",264,261,41,6.37
2024,25,"LV","Pipiens",2,2,6,0.33
2024,25,"LV","Tarsalis",98,98,6,16.33
2024,25,"BE","Pipiens",5,5,9,0.56
2024,25,"BE","Tarsalis",165,165,9,18.33
