"year","week","well_position","plate","target","csu_id","sample_type","cq","log_copies"
2025,23,"F6","plate_1","SLEV","pos extract ctl","pos ctrl",18.42,6.05920740044063
2025,23,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",32.46,2
2025,23,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",32.46,2
2025,23,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,23,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,23,"E12","plate_1","SLEV","slev_std_1e4","std 1e4",25.13,4
2025,23,"E12","plate_1","SLEV","slev_std_1e4","std 1e4",25.13,4
2025,23,"B12","plate_1","SLEV","wnv_std_1e4","std 1e4",55.55,0
2025,23,"B12","plate_1","SLEV","wnv_std_1e4","std 1e4",55.55,0
2025,23,"D12","plate_1","SLEV","slev_std_1e6","std 1e6",18.78,6
2025,23,"D12","plate_1","SLEV","slev_std_1e6","std 1e6",18.78,6
2025,23,"A12","plate_1","SLEV","wnv_std_1e6","std 1e6",55.55,0
2025,23,"A12","plate_1","SLEV","wnv_std_1e6","std 1e6",55.55,0
2025,23,"F6","plate_1","WNV","pos extract ctl","pos ctrl",16.38,6.6952031922013
2025,23,"F12","plate_1","WNV","slev_std_1e2","std 1e2",36.67,0.709269960975831
2025,23,"F12","plate_1","WNV","slev_std_1e2","std 1e2",36.67,0.709269960975831
2025,23,"C12","plate_1","WNV","wnv_std_1e2","std 1e2",32.39,2
2025,23,"C12","plate_1","WNV","wnv_std_1e2","std 1e2",32.39,2
2025,23,"E12","plate_1","WNV","slev_std_1e4","std 1e4",55.55,0
2025,23,"E12","plate_1","WNV","slev_std_1e4","std 1e4",55.55,0
2025,23,"B12","plate_1","WNV","wnv_std_1e4","std 1e4",25.32,4
2025,23,"B12","plate_1","WNV","wnv_std_1e4","std 1e4",25.32,4
2025,23,"D12","plate_1","WNV","slev_std_1e6","std 1e6",33.7,1.58602438238698
2025,23,"D12","plate_1","WNV","slev_std_1e6","std 1e6",33.7,1.58602438238698
2025,23,"A12","plate_1","WNV","wnv_std_1e6","std 1e6",18.83,6
2025,23,"A12","plate_1","WNV","wnv_std_1e6","std 1e6",18.83,6
2025,24,"H11","plate_1","SLEV","pos extract ctl","pos ctrl",18.07,6.2214502632273
2025,24,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.44,2
2025,24,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,24,"E12","plate_1","SLEV","slev_std_1e4","std 1e4",25.17,4
2025,24,"B12","plate_1","SLEV","wnv_std_1e4","std 1e4",55.55,0
2025,24,"D12","plate_1","SLEV","slev_std_1e6","std 1e6",18.75,6
2025,24,"A12","plate_1","SLEV","wnv_std_1e6","std 1e6",55.55,0
2025,24,"H11","plate_1","WNV","pos extract ctl","pos ctrl",15.9,7.26273170042874
2025,24,"F12","plate_1","WNV","slev_std_1e2","std 1e2",36.61,0.615950051656401
2025,24,"C12","plate_1","WNV","wnv_std_1e2","std 1e2",32.16,2
2025,24,"E12","plate_1","WNV","slev_std_1e4","std 1e4",55.55,0
2025,24,"B12","plate_1","WNV","wnv_std_1e4","std 1e4",26.35,4
2025,24,"D12","plate_1","WNV","slev_std_1e6","std 1e6",33.2,1.71130095991617
2025,24,"A12","plate_1","WNV","wnv_std_1e6","std 1e6",19.69,6
2025,25,"H11","plate_1","SLEV","pos extract ctl","pos ctrl",17.73,6.32461473838011
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"F12","plate_1","SLEV","slev_std_1e2","std 1e2",31.77,2
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
2025,25,"C12","plate_1","SLEV","wnv_std_1e2","std 1e2",55.55,0
